id,season,stage,home_shoton,away_shoton,GAP_H_Shoton,GAP_A_Shoton,home_shotoff,away_shotoff,GAP_H_Shotoff,GAP_A_Shotoff,home_shot,away_shot,GAP_H_Shot,GAP_A_Shot,home_cross_sum,away_cross_sum,GAP_H_Cross,GAP_A_Cross,AVG_H_Shoton,AVG_A_Shoton,AVG_H_Shotoff,AVG_A_Shotoff,AVG_H_Shot,AVG_A_Shot,AVG_H_Cross,AVG_A_Cross,home_result,LR_h_shoton,LR_h_shotoff,LR_h_shot,LR_h_cross,LR_a_shoton,LR_a_shotoff,LR_a_shot,LR_a_cross,CB_POW_H,CB_MEN_H,CB_SKI_H,CB_MOV_H,CB_ATT_H,CB_DEF_H,CM_POW_H,CM_MEN_H,CM_SKI_H,CM_MOV_H,CM_ATT_H,CM_DEF_H,GK_POW_H,GK_MEN_H,GK_MOV_H,GK_GOK_H,ST_POW_H,ST_MEN_H,ST_SKI_H,ST_MOV_H,ST_ATT_H,ST_DEF_H,CB_POW_A,CB_MEN_A,CB_SKI_A,CB_MOV_A,CB_ATT_A,CB_DEF_A,CM_POW_A,CM_MEN_A,CM_SKI_A,CM_MOV_A,CM_ATT_A,CM_DEF_A,GK_POW_A,GK_MEN_A,GK_MOV_A,GK_GOK_A,ST_POW_A,ST_MEN_A,ST_SKI_A,ST_MOV_A,ST_ATT_A,ST_DEF_A,B365_home_win_Prob,p_home,home_odds_synth,kelly_fraction_home,kelly_index,kelly_group
3629,2013/2014,1,9,3,8.305573929728562,4.007206878340032,6,3,7.979500143562049,4.763479442635454,15,6,16.089217604271738,9.074921180596679,23,10,30.42360310473942,15.599956792472168,7.2727272727272725,4.931506849315069,6.924242424242424,5.493150684931507,14.196969696969697,10.424657534246576,24.272727272727273,18.47945205479452,0,7.848814203025107,8.274076249492698,16.12289045251781,27.43961979908503,4.264120845144112,4.390913699490913,8.655034544635036,14.68276378936598,264.4,255.2,231.2,264.2,237.8,328.3333333333334,350.0,336.6,377.8,400.2,340.2,241.3333333333333,36.8,30.0,54.4,77.8,77.0,68.6,68.8,61.0,77.2,26.66666666666667,279.0,243.2,205.2,244.8,213.8,293.3333333333333,205.2,201.6,207.0,223.6,176.0,176.3333333333333,45.8,30.6,51.4,75.6,214.4,178.4,177.8,216.2,201.4,84.66666666666667,0.674237047551455,0.16616002,1.483157894736842,-1.5596526448892876,-1.5596526448892876,hard
3630,2013/2014,1,7,6,8.936604418526564,5.119977471797059,13,1,7.405651176155772,4.978538569975896,20,7,17.005926420172347,10.444435873491432,12,25,27.23780949501415,14.357525368434235,5.928571428571429,5.267857142857142,5.628571428571429,5.719155844155845,11.557142857142857,10.987012987012987,17.957142857142856,18.756493506493506,1,8.63382607629154,8.96587357418743,17.59969965047896,27.53935771314008,3.822135195886996,4.627677454863871,8.449812650750872,15.49604914301065,281.8,264.8,230.4,267.8,249.6,336.3333333333334,361.2,351.6,394.4,394.0,370.4,228.0,36.4,25.8,56.4,81.6,77.0,66.4,73.0,74.0,79.6,22.66666666666667,268.6,237.0,224.8,276.8,226.6,286.3333333333333,344.4,307.8,325.6,360.0,308.2,210.6666666666667,46.4,24.8,52.2,73.6,77.0,59.2,58.2,64.6,68.2,35.33333333333334,0.8139534883720929,0.9866502,1.2285714285714286,0.9282449781894684,0.9282449781894684,easy
3631,2013/2014,1,4,6,4.687194606040849,11.378237456723987,2,11,5.664085094904492,6.429280446623087,6,17,10.464514170975328,18.564917371250232,17,19,21.464686057665652,22.900828648012855,5.267857142857142,7.943661971830986,5.719155844155845,7.704225352112676,10.987012987012987,15.647887323943662,18.756493506493506,21.802816901408452,0,5.78179874384666,5.805651422406903,11.58745016625357,25.71779878297372,7.047407686113223,5.81350198642687,12.8609096725401,22.05880389244255,250.2,218.0,194.2,249.0,195.6,266.6666666666667,332.4,292.4,310.8,341.2,302.6,237.0,43.0,22.0,54.2,71.8,63.4,60.0,46.8,55.6,60.8,19.66666666666667,290.8,265.8,242.6,286.0,236.0,313.6666666666666,300.0,274.4,288.0,314.0,283.4,214.0,40.0,24.8,62.8,83.0,79.0,68.4,72.2,76.8,77.0,39.66666666666666,0.205664194200944,0.21270385,4.862295081967214,0.008862314230314973,0.008862314230314973,medium
3632,2013/2014,1,14,6,7.964939182373945,6.159183260982486,10,2,7.732985656625541,6.409218166240013,24,8,16.567171726038023,12.758330316388124,29,20,26.64620757840298,17.85111914459753,5.673469387755102,3.9714285714285715,5.5612244897959195,4.957142857142857,11.23469387755102,8.928571428571429,22.566326530612244,23.02857142857143,1,8.634794616066573,9.805520628207304,18.44031524427388,26.55134708714195,2.312423617367092,3.996784375872468,6.309207993239575,10.70943950114674,301.0,269.2,267.6,285.4,247.8,329.3333333333333,226.4,217.2,226.0,215.4,210.8,207.6666666666667,50.8,28.2,61.6,77.8,197.8,184.0,226.2,247.0,209.6,67.00000000000001,256.8,245.4,216.0,242.6,223.8,305.6666666666667,216.4,201.4,197.4,199.2,187.6,214.0,42.0,32.6,65.4,79.8,212.4,196.2,203.8,207.2,212.4,105.0,0.7005899705014749,0.9711935,1.4273684210526316,0.9037891027375395,0.9037891027375395,easy
3633,2013/2014,1,11,2,5.536998317599381,5.587640435034511,6,3,8.307668936146403,2.991683573741392,17,5,13.713708366110122,8.08730764949513,25,8,29.208079885747743,16.925332999332625,5.3108108108108105,5.707692307692308,5.756756756756757,5.953846153846154,11.067567567567568,11.661538461538461,19.68918918918919,17.76923076923077,1,7.943490252270158,7.747876795491582,15.69136704776174,26.94047903956513,4.046907787585843,4.623796719777344,8.67070450736319,16.22727092278169,277.2,260.2,260.2,285.2,253.4,335.6666666666667,367.8,352.8,391.6,413.8,377.6,215.3333333333333,43.8,31.6,65.0,82.0,76.0,66.4,69.8,68.2,77.8,18.33333333333333,270.0,248.6,239.6,277.2,243.6,315.6666666666666,380.6,341.0,351.8,384.0,354.2,291.3333333333333,43.6,33.6,53.0,78.2,77.0,61.6,68.2,80.8,76.8,16.0,0.733822548365577,0.974798,1.3627272727272728,0.9053188910460414,0.9053188910460414,easy
3634,2013/2014,1,3,6,5.075058960462554,6.436394248348598,2,10,5.027154335578385,6.42020665473839,5,16,10.397637756005945,12.83306976809331,19,29,21.51477458429864,23.715606231234844,5.304347826086956,6.642857142857143,5.478260869565218,6.514285714285714,10.782608695652174,13.157142857142857,19.318840579710145,22.52857142857143,0,4.841256282600131,5.838295627896922,10.67955191049705,20.3805000250225,6.356605539082196,5.598644695458679,11.95525023454087,20.54282645113768,268.2,255.2,233.2,260.0,234.0,292.3333333333334,335.8,302.2,335.0,367.0,299.8,231.0,46.4,31.2,47.8,77.0,72.2,69.6,59.6,70.8,68.4,24.33333333333333,281.2,268.0,243.0,280.6,250.4,310.6666666666666,357.2,340.8,358.8,370.2,362.2,268.6666666666667,43.4,30.2,55.0,80.0,71.8,61.4,64.6,68.4,66.8,11.0,0.3053892215568862,0.04910019,3.274509803921569,-0.3689678424391253,-0.3689678424391253,medium
3636,2013/2014,1,6,4,8.515858055157448,3.1316932204440415,9,3,9.660032971157944,5.068545926261284,15,7,18.3227690846795,8.031491755257594,40,14,23.331736670397284,15.68093282609302,7.485714285714286,6.4,7.6,6.5,15.085714285714285,12.9,22.485714285714284,23.55,0,5.008626200637412,5.622018793092911,10.63064499373032,21.24549501969855,6.648727524353889,4.939319437014889,11.58804696136876,15.51955978373201,263.2,240.4,218.8,263.4,202.8,298.3333333333334,333.4,321.6,318.4,381.2,291.4,280.6666666666667,45.0,23.4,65.8,79.8,71.0,70.2,67.6,68.4,72.0,52.66666666666666,267.4,259.2,231.2,261.4,243.8,339.3333333333333,279.0,290.6,308.4,294.0,288.4,202.3333333333333,40.8,30.4,56.0,81.2,154.0,131.0,150.2,155.0,160.2,55.66666666666666,0.2325581395348837,0.011810994,4.300000000000001,-0.28764021289393754,-0.28764021289393754,medium
3637,2013/2014,1,7,5,2.0824379610800396,6.973140308478861,5,2,5.30105847269511,5.560133885468035,12,7,7.138998085527609,11.98441941085197,31,35,17.1466124859249,20.18839738844553,5.276923076923077,7.594202898550725,5.615384615384615,7.739130434782608,10.892307692307693,15.333333333333334,16.676923076923078,21.753623188405797,0,6.050819210165749,7.408436913574649,13.4592561237404,21.95040567600842,5.879462570055511,5.291002977047349,11.17046554710285,17.31077002182347,254.4,239.0,211.2,244.8,227.6,287.6666666666667,288.0,272.2,272.4,287.2,257.0,264.3333333333333,45.4,23.2,52.8,77.8,151.6,127.4,125.0,147.8,146.2,46.66666666666667,235.6,222.6,215.2,250.0,212.0,278.0,362.8,331.4,327.6,371.6,325.6,264.6666666666667,48.2,29.6,47.8,73.6,78.6,68.4,65.2,62.4,71.6,24.0,0.407185628742515,0.1441908,2.455882352941176,-0.44363774630156444,-0.44363774630156444,medium
3739,2013/2014,2,7,1,7.798922860503472,8.090869940944845,10,2,6.896641925997331,6.20186244773522,17,3,14.815256751332285,14.274569999854906,25,12,22.293918317346204,20.660785823640484,4.905405405405405,5.798994974874372,5.45945945945946,5.628140703517589,10.364864864864865,11.427135678391961,18.364864864864863,22.66331658291457,0,3.617286010850027,5.516257134860362,9.133543145710394,17.68059230398463,6.226691649348656,7.428726022285459,13.65541767163412,18.9881694240537,266.2,257.0,233.4,266.2,239.2,329.6666666666667,348.6,358.2,411.8,384.4,367.4,224.0,39.2,37.4,53.4,77.8,78.4,71.2,69.4,60.2,77.4,26.66666666666667,206.2,176.8,160.0,194.6,161.0,244.6666666666667,350.2,340.6,328.2,353.0,317.4,355.0,52.8,31.4,50.6,79.8,152.8,137.2,153.2,164.8,151.6,62.33333333333333,0.4247885251930857,0.02237267,2.3541125541125543,-0.6995963667474134,-0.6995963667474134,hard
3740,2013/2014,2,4,5,4.383267091947376,5.781979340592989,2,7,5.459326345887993,4.4298266441017455,6,12,9.953128317183847,9.956600421187703,12,38,19.5664074967332,16.706217427317643,5.267857142857142,5.386666666666667,5.719155844155845,5.76,10.987012987012987,11.146666666666667,18.756493506493506,19.76,1,4.605273245096975,4.806912401336467,9.412185646433443,23.81744668640932,7.572937666546407,5.566447998730477,13.13938566527688,23.17740166135542,234.2,216.4,208.4,263.4,198.4,295.3333333333333,360.0,337.0,351.6,370.4,324.8,305.3333333333333,41.6,27.6,49.0,72.0,76.8,64.2,70.8,76.4,72.0,25.66666666666667,266.4,245.2,229.2,270.4,210.8,303.3333333333334,340.0,312.8,345.2,387.6,309.8,244.3333333333333,46.4,27.8,64.8,80.2,74.2,72.4,68.6,68.6,73.6,52.66666666666666,0.2875,0.95045185,3.4782608695652177,0.9304587380927907,0.9304587380927907,easy
